1.112115121755248570e-02 8.157496478689813557e+01 -3.510500017420444818e-01
1.198063712729547335e-02 7.945558423218635369e+01 -3.563150916236905719e-01
1.290654745790963988e-02 7.735875984418112239e+01 -3.622973808741642432e-01
1.390401574752291210e-02 7.528274728368948843e+01 -3.685232931886791019e-01
1.497857227409719535e-02 7.322933916102225282e+01 -3.743488923180456340e-01
1.613617471702906772e-02 7.120288024882789557e+01 -3.794893180661648713e-01
1.738324118839836355e-02 6.920721379928012595e+01 -3.842529807909595418e-01
1.872668581700043938e-02 6.724341452720958046e+01 -3.891747796643307278e-01
2.017395708245114591e-02 6.531062327362010933e+01 -3.943891153733820598e-01
2.173307911190077227e-02 6.340872427137912126e+01 -3.995553074276477767e-01
2.341269616831907763e-02 6.153911240603331834e+01 -4.044833275517227267e-01
2.522212057700834800e-02 5.970281110256190260e+01 -4.094246626079997564e-01
2.717138435606414673e-02 5.789964446316064084e+01 -4.145173621713503231e-01
2.927129483703932306e-02 5.612964468498412884e+01 -4.195889132658298659e-01
3.153349458418966411e-02 5.439328205863063204e+01 -4.246518554988576444e-01
3.397052594451251128e-02 5.269059441113506637e+01 -4.298056462656782428e-01
3.659590058646371852e-02 5.102151893213848410e+01 -4.350090680730736015e-01
3.942417441289793739e-02 4.938611495276695251e+01 -4.402525631673347983e-01
4.247102826357269240e-02 4.778431870163520756e+01 -4.455931419549631345e-01
4.575335485465652913e-02 4.621598568581794098e+01 -4.509819034835893525e-01
4.928935243726136756e-02 4.468105189185363457e+01 -4.564844382919382992e-01
5.309862569427095669e-02 4.317930205371421692e+01 -4.620310832868089190e-01
5.720229443486979370e-02 4.171057404586443340e+01 -4.677232657198494570e-01
6.162311068940862224e-02 4.027469730537880821e+01 -4.734847459227255473e-01
6.638558485381763907e-02 3.887138776572201948e+01 -4.793214322577933895e-01
7.151612158295142518e-02 3.750042161983019895e+01 -4.853115325960458137e-01
7.704316618630147051e-02 3.616158056769276641e+01 -4.914470826821909499e-01
8.299736233773968852e-02 3.485459594201186206e+01 -4.976752875460081493e-01
8.941172197368570107e-02 3.357916239521265567e+01 -5.039760074069848939e-01
9.632180832166661877e-02 3.233496986253178562e+01 -5.103854861964821632e-01
1.037659330740370867e-01 3.112172468237145750e+01 -5.169637591614858474e-01
1.117853688000533113e-01 2.993914449417411561e+01 -5.237402092942421428e-01
1.204245777739794687e-01 2.878693284096148020e+01 -5.306834224916648912e-01
1.297314584879225574e-01 2.766476324542643539e+01 -5.377330490913495575e-01
1.397576112161395268e-01 2.657227833699233699e+01 -5.448734051914797538e-01
1.505586241031890149e-01 2.550912615103613845e+01 -5.521398161473582977e-01
1.621943813620909669e-01 2.447496408296225212e+01 -5.596044216000169991e-01
1.747293952912404302e-01 2.346947218694156945e+01 -5.673322235847564343e-01
1.882331639508832699e-01 2.249232022347045756e+01 -5.752565630431976107e-01
2.027805564822233453e-01 2.154314065187804417e+01 -5.833057844248465962e-01
2.184522282054920939e-01 2.062155120831181421e+01 -5.914811401526667289e-01
2.353350677984152040e-01 1.972716633169788736e+01 -5.997952234916448244e-01
2.535226790343735881e-01 1.885961125769260249e+01 -6.083381341627629446e-01
2.731158997511666797e-01 1.801853398730044375e+01 -6.172035188792270866e-01
2.942233609277054573e-01 1.720357752425778841e+01 -6.263160619990968403e-01
3.169620889683302800e-01 1.641434847473361458e+01 -6.355799546879906670e-01
3.414581545340080737e-01 1.565043995066161742e+01 -6.449995132097015027e-01
3.678473715177345005e-01 1.491144263856532959e+01 -6.545786456878889270e-01
3.962760500394771901e-01 1.419695455858524014e+01 -6.644224244974360483e-01
